id;Solution type (ms);Transformation time (ms);Solver time (ms);KoodkodToCNFTransformationTime;save
All1;ModelResultImpl;4827;52668;229;saved
All2;ModelResultImpl;1208;47155;97;saved
All3;ModelResultImpl;603;41768;55;saved
All4;ModelResultImpl;623;41166;55;saved
All5;ModelResultImpl;1227;43501;127;saved
All6;ModelResultImpl;627;45136;74;saved
All7;ModelResultImpl;455;40162;33;saved
All8;ModelResultImpl;477;42321;39;saved
All9;ModelResultImpl;589;41079;31;saved
All10;ModelResultImpl;403;38605;36;saved
All11;ModelResultImpl;442;42841;36;saved
All12;ModelResultImpl;352;40122;27;saved
All13;ModelResultImpl;397;39822;26;saved
All14;ModelResultImpl;409;39436;33;saved
All15;ModelResultImpl;806;40811;29;saved
All16;ModelResultImpl;423;39710;23;saved
All17;ModelResultImpl;337;44952;22;saved
All18;ModelResultImpl;353;42301;21;saved
All19;ModelResultImpl;321;44656;20;saved
All20;ModelResultImpl;367;40637;22;saved
All21;ModelResultImpl;310;41254;19;saved
All22;ModelResultImpl;433;39378;39;saved
All23;ModelResultImpl;294;41318;19;saved
All24;ModelResultImpl;370;42339;26;saved
All25;ModelResultImpl;341;39632;18;saved
All26;ModelResultImpl;626;40660;86;saved
All27;ModelResultImpl;297;39406;20;saved
All28;ModelResultImpl;296;39357;18;saved
All29;ModelResultImpl;312;39379;18;saved
All30;ModelResultImpl;302;38348;18;saved
All31;ModelResultImpl;456;39216;21;saved
All32;ModelResultImpl;300;41731;20;saved
All33;ModelResultImpl;298;39573;19;saved
All34;ModelResultImpl;354;38247;19;saved
All35;ModelResultImpl;329;39369;19;saved
All36;ModelResultImpl;299;39418;18;saved
All37;ModelResultImpl;330;39323;21;saved
All38;ModelResultImpl;292;41655;21;saved
All39;ModelResultImpl;366;42862;19;saved
All40;ModelResultImpl;298;41324;24;saved
All41;ModelResultImpl;294;40562;17;saved
All42;ModelResultImpl;449;42683;29;saved
All43;ModelResultImpl;345;46669;20;saved
All44;ModelResultImpl;350;42220;21;saved
All45;ModelResultImpl;377;40105;30;saved
All46;ModelResultImpl;287;41389;18;saved
All47;ModelResultImpl;291;41750;18;saved
All48;ModelResultImpl;385;44141;21;saved
All49;ModelResultImpl;300;46478;19;saved
All50;ModelResultImpl;343;47808;23;saved
All51;ModelResultImpl;378;43037;25;saved
All52;ModelResultImpl;856;44182;23;saved
All53;ModelResultImpl;324;40742;19;saved
All54;ModelResultImpl;317;42042;21;saved
All55;ModelResultImpl;569;48827;31;saved
All56;ModelResultImpl;364;47314;18;saved
All57;ModelResultImpl;293;40019;17;saved
All58;ModelResultImpl;332;41793;20;saved
All59;ModelResultImpl;355;41903;18;saved
All60;ModelResultImpl;325;42840;20;saved
All61;ModelResultImpl;352;42331;19;saved
All62;ModelResultImpl;343;46760;19;saved
All63;ModelResultImpl;444;45246;27;saved
All64;ModelResultImpl;303;42030;17;saved
All65;ModelResultImpl;310;41850;19;saved
All66;ModelResultImpl;294;41237;21;saved
All67;ModelResultImpl;372;41264;18;saved
All68;ModelResultImpl;303;43725;16;saved
All69;ModelResultImpl;300;43158;17;saved
All70;ModelResultImpl;293;39652;17;saved
All71;ModelResultImpl;705;42292;24;saved
All72;ModelResultImpl;326;41317;17;saved
All73;ModelResultImpl;299;42546;19;saved
All74;ModelResultImpl;318;40965;17;saved
All75;ModelResultImpl;300;42085;18;saved
All76;ModelResultImpl;371;53643;17;saved
All77;ModelResultImpl;567;45900;30;saved
All78;ModelResultImpl;312;40893;17;saved
All79;ModelResultImpl;296;43306;24;saved
All80;ModelResultImpl;359;41185;21;saved
All81;ModelResultImpl;338;40834;23;saved
All82;ModelResultImpl;302;39279;22;saved
All83;ModelResultImpl;302;40765;18;saved
All84;ModelResultImpl;350;41239;18;saved
All85;ModelResultImpl;307;41146;19;saved
All86;ModelResultImpl;331;39108;20;saved
All87;ModelResultImpl;301;41392;18;saved
All88;ModelResultImpl;308;44418;17;saved
All89;ModelResultImpl;354;45371;27;saved
All90;ModelResultImpl;393;45531;18;saved
All91;ModelResultImpl;357;43898;19;saved
All92;ModelResultImpl;297;42341;17;saved
All93;ModelResultImpl;334;44337;19;saved
All94;ModelResultImpl;292;40106;19;saved
All95;ModelResultImpl;307;41768;18;saved
All96;ModelResultImpl;312;41325;19;saved
All97;ModelResultImpl;296;41323;17;saved
All98;ModelResultImpl;387;40022;19;saved
All99;ModelResultImpl;434;42150;17;saved
All100;ModelResultImpl;302;45216;18;saved

