id;Solution type (ms);Transformation time (ms);Solver time (ms);_Solution0FoundAt;TransformationExecutionTime;TypeAnalysisTime;StateCoderTime;StateCoderFailCount;SolutionCopyTime;SolutionDiversityCheckTime;SolutionDiversitySuccessRate;save
scenario.constraints1;ModelResultImpl;7618;2762;1115;651;150;241;0;4;2;1.0;saved
scenario.constraints2;ModelResultImpl;3223;1649;944;596;36;186;0;5;2;1.0;saved
scenario.constraints3;ModelResultImpl;4499;5894;3558;2252;13;649;0;1;1;1.0;saved
scenario.constraints4;ModelResultImpl;5703;2033;947;564;70;244;0;1;4;1.0;saved
scenario.constraints5;ModelResultImpl;3777;1493;783;485;18;160;0;1;1;1.0;saved
scenario.constraints6;ModelResultImpl;1616;922;478;309;9;103;0;0;0;1.0;saved
scenario.constraints7;ModelResultImpl;1867;911;403;256;16;87;0;0;0;1.0;saved
scenario.constraints8;ModelResultImpl;2389;1356;699;417;15;166;0;6;1;1.0;saved
scenario.constraints9;ModelResultImpl;2124;1923;974;623;10;217;0;2;1;1.0;saved
scenario.constraints10;ModelResultImpl;1868;1243;668;423;13;161;0;1;2;1.0;saved
scenario.constraints11;ModelResultImpl;1663;664;268;162;9;65;0;0;0;1.0;saved
scenario.constraints12;ModelResultImpl;1350;635;285;174;6;69;0;0;0;1.0;saved
scenario.constraints13;ModelResultImpl;1384;791;408;257;5;91;0;0;0;1.0;saved
scenario.constraints14;ModelResultImpl;1351;723;391;234;6;100;0;1;1;1.0;saved
scenario.constraints15;ModelResultImpl;1266;628;280;160;5;77;0;0;0;1.0;saved
scenario.constraints16;ModelResultImpl;1291;702;329;194;6;85;0;0;0;1.0;saved
scenario.constraints17;ModelResultImpl;1292;686;356;214;6;88;0;0;0;1.0;saved
scenario.constraints18;ModelResultImpl;1318;654;316;189;5;77;0;1;1;1.0;saved
scenario.constraints19;ModelResultImpl;1309;705;321;191;5;81;0;0;1;1.0;saved
scenario.constraints20;ModelResultImpl;1252;653;310;184;6;76;0;0;0;1.0;saved
scenario.constraints21;ModelResultImpl;1283;866;481;297;12;104;0;1;1;1.0;saved
