id;Solution type (ms);Transformation time (ms);Solver time (ms);_Solution0FoundAt;TransformationExecutionTime;TypeAnalysisTime;StateCoderTime;StateCoderFailCount;SolutionCopyTime;SolutionDiversityCheckTime;SolutionDiversitySuccessRate;save
noConstraints1;ModelResultImpl;6725;2916;1041;588;149;226;0;4;3;1.0;saved
noConstraints2;ModelResultImpl;2240;1455;735;385;16;230;0;2;1;1.0;saved
noConstraints3;ModelResultImpl;1978;1194;557;343;15;126;0;1;1;1.0;saved
noConstraints4;ModelResultImpl;2003;1122;566;331;14;142;0;1;1;1.0;saved
noConstraints5;ModelResultImpl;1776;1198;610;361;15;152;0;1;1;1.0;saved
noConstraints6;ModelResultImpl;1668;882;425;259;11;101;0;1;1;1.0;saved
noConstraints7;ModelResultImpl;1581;974;465;278;12;113;0;1;1;1.0;saved
noConstraints8;ModelResultImpl;1471;863;400;246;8;95;0;1;1;1.0;saved
noConstraints9;ModelResultImpl;1486;879;403;244;8;99;0;0;0;1.0;saved
noConstraints10;ModelResultImpl;1423;817;413;244;9;104;0;1;1;1.0;saved
noConstraints11;ModelResultImpl;1519;915;425;267;9;96;0;0;1;1.0;saved
noConstraints12;ModelResultImpl;1114;742;396;239;8;94;0;1;0;1.0;saved
noConstraints13;ModelResultImpl;1156;658;287;176;6;70;0;0;0;1.0;saved
noConstraints14;ModelResultImpl;990;688;360;206;6;95;0;0;0;1.0;saved
noConstraints15;ModelResultImpl;1129;603;288;165;6;81;0;0;0;1.0;saved
noConstraints16;ModelResultImpl;1055;622;303;172;7;80;0;0;0;1.0;saved
noConstraints17;ModelResultImpl;1022;584;281;156;4;80;0;0;0;1.0;saved
noConstraints18;ModelResultImpl;1075;581;262;150;5;73;0;0;0;1.0;saved
noConstraints19;ModelResultImpl;1152;647;288;164;7;81;0;0;0;1.0;saved
noConstraints20;ModelResultImpl;1077;582;277;158;5;77;0;0;0;1.0;saved
noConstraints21;ModelResultImpl;1028;555;253;146;5;68;0;0;0;1.0;saved
noConstraints22;ModelResultImpl;975;690;300;178;6;75;0;1;1;1.0;saved
noConstraints23;ModelResultImpl;1042;1029;521;261;5;159;0;13;20;1.0;saved
noConstraints24;ModelResultImpl;1920;1684;797;497;42;157;0;1;1;1.0;saved
noConstraints25;ModelResultImpl;1810;608;289;168;5;75;0;0;0;1.0;saved
noConstraints26;ModelResultImpl;1286;704;335;192;8;88;0;0;0;1.0;saved
noConstraints27;ModelResultImpl;916;558;271;154;5;77;0;0;0;1.0;saved
noConstraints28;ModelResultImpl;1083;554;271;159;10;71;0;0;0;1.0;saved
noConstraints29;ModelResultImpl;1059;679;350;203;5;89;0;0;1;1.0;saved
noConstraints30;ModelResultImpl;1044;766;359;204;5;99;0;0;0;1.0;saved
noConstraints31;ModelResultImpl;957;728;373;219;4;95;0;0;0;1.0;saved
noConstraints32;ModelResultImpl;1028;836;446;272;6;106;0;1;0;1.0;saved
