id;Solution type (ms);Transformation time (ms);Solver time (ms);_Solution0FoundAt;TransformationExecutionTime;TypeAnalysisTime;StateCoderTime;StateCoderFailCount;SolutionCopyTime;SolutionDiversityCheckTime;SolutionDiversitySuccessRate;save
All1;ModelResultImpl;25619;15481;12327;5982;170;1190;0;13;6;1.0;saved
All2;ModelResultImpl;5103;8344;7173;3237;31;696;0;4;0;1.0;saved
All3;ModelResultImpl;4978;8828;7678;3825;18;704;0;1;0;1.0;saved
All4;ModelResultImpl;3621;5344;4428;2213;10;454;0;1;0;1.0;saved
All5;ModelResultImpl;3381;4408;3512;1673;8;546;0;1;0;1.0;saved
All6;ModelResultImpl;3304;7368;6429;3074;8;650;0;1;0;1.0;saved
All7;ModelResultImpl;3240;6579;5625;2807;9;620;0;1;0;1.0;saved
All8;ModelResultImpl;3182;7209;6372;2949;8;798;0;1;0;1.0;saved
All9;ModelResultImpl;3215;5531;4664;2393;6;544;0;1;0;1.0;saved
All10;ModelResultImpl;3102;6785;5862;2995;6;590;0;1;0;1.0;saved
All11;ModelResultImpl;3332;5531;4637;2309;6;515;0;1;0;1.0;saved
All12;ModelResultImpl;3183;8518;7617;3632;6;664;0;1;0;1.0;saved
All13;ModelResultImpl;2843;6807;5949;2845;9;700;0;1;0;1.0;saved
All14;ModelResultImpl;2925;9134;8167;3922;5;741;0;1;0;1.0;saved
All15;ModelResultImpl;2927;6511;5652;2528;6;778;0;1;0;1.0;saved
All16;ModelResultImpl;2938;6821;5868;2894;8;663;0;1;0;1.0;saved
All17;ModelResultImpl;2807;5994;5218;2577;6;691;0;1;0;1.0;saved
All18;ModelResultImpl;2931;4890;4132;2004;8;472;0;1;0;1.0;saved
All19;ModelResultImpl;2988;6310;5299;2555;5;498;0;1;0;1.0;saved
All20;ModelResultImpl;2895;6837;5971;2880;6;652;0;1;0;1.0;saved
All21;ModelResultImpl;2907;7554;6713;3139;5;727;0;1;0;1.0;saved
All22;ModelResultImpl;2888;5880;5139;2403;6;550;0;1;0;1.0;saved
All23;ModelResultImpl;2939;4662;3892;1959;6;468;0;1;0;1.0;saved
All24;ModelResultImpl;3326;5615;4914;2201;5;748;0;1;0;1.0;saved
All25;ModelResultImpl;2806;10477;9702;4652;5;1092;0;1;1;1.0;saved
All26;ModelResultImpl;2876;10248;9145;4330;6;949;0;1;1;1.0;saved
All27;ModelResultImpl;3011;6271;5510;2579;5;634;0;1;0;1.0;saved
All28;ModelResultImpl;2937;8467;7526;3675;6;761;0;1;0;1.0;saved
All29;ModelResultImpl;2931;5308;4496;2270;5;637;0;1;0;1.0;saved
All30;ModelResultImpl;2954;7750;6897;3273;6;700;0;1;0;1.0;saved
All31;ModelResultImpl;2998;6923;6120;2806;5;715;0;1;0;1.0;saved
All32;ModelResultImpl;2940;4702;3991;1802;6;510;0;1;0;1.0;saved
All33;ModelResultImpl;3179;5531;4661;2465;6;511;0;1;0;1.0;saved
All34;ModelResultImpl;3256;7500;6551;3113;8;706;0;1;0;1.0;saved
All35;ModelResultImpl;3156;4638;3717;1793;6;584;0;1;0;1.0;saved
All36;ModelResultImpl;2961;6250;5417;2700;5;592;0;1;0;1.0;saved
All37;ModelResultImpl;3102;7389;6483;3017;5;668;0;1;0;1.0;saved
All38;ModelResultImpl;3046;5155;4312;2268;5;440;0;1;0;1.0;saved
All39;ModelResultImpl;3500;6208;5209;2475;9;668;0;1;0;1.0;saved
All40;ModelResultImpl;2855;7071;6320;2901;5;957;0;1;0;1.0;saved
All41;ModelResultImpl;2887;4320;3470;1669;5;554;0;1;0;1.0;saved
All42;ModelResultImpl;2822;7208;6343;3010;5;729;0;1;0;1.0;saved
All43;ModelResultImpl;2894;5816;5086;2310;6;552;0;1;0;1.0;saved
All44;ModelResultImpl;2791;4845;4062;1973;5;509;0;1;0;1.0;saved
All45;ModelResultImpl;2808;4751;3850;1820;5;545;0;1;0;1.0;saved
All46;ModelResultImpl;2871;6049;5276;2604;5;639;0;1;0;1.0;saved
All47;ModelResultImpl;2851;4605;3861;2088;9;416;0;1;0;1.0;saved
All48;ModelResultImpl;2882;5915;4927;2604;5;439;0;1;0;1.0;saved
All49;ModelResultImpl;2746;4399;3577;1858;5;480;0;1;0;1.0;saved
All50;ModelResultImpl;2824;9036;8272;3953;5;837;0;1;0;1.0;saved
All51;ModelResultImpl;2844;3583;2861;1360;5;406;0;1;0;1.0;saved
All52;ModelResultImpl;2850;5940;5088;2382;5;633;0;1;0;1.0;saved
All53;ModelResultImpl;3101;4590;3815;1987;5;492;0;1;0;1.0;saved
All54;ModelResultImpl;2923;4845;4126;2049;5;469;0;1;0;1.0;saved
All55;ModelResultImpl;2854;4257;3573;1682;5;443;0;1;0;1.0;saved
All56;ModelResultImpl;2887;6441;5546;2594;4;683;0;1;0;1.0;saved
All57;ModelResultImpl;3400;8024;6737;3147;6;901;0;1;0;1.0;saved
All58;ModelResultImpl;4091;4999;4178;2194;6;536;0;1;0;1.0;saved
All59;ModelResultImpl;3311;9571;8523;4006;5;737;0;1;0;1.0;saved
All60;ModelResultImpl;3172;6065;5285;2561;5;585;0;1;0;1.0;saved
All61;ModelResultImpl;2721;5564;4751;2168;5;685;0;1;0;1.0;saved
All62;ModelResultImpl;3401;7379;6006;2864;5;737;0;1;0;1.0;saved
All63;ModelResultImpl;4914;10010;9016;4341;8;1047;0;1;0;1.0;saved
All64;ModelResultImpl;3140;9552;8538;4149;5;927;0;1;0;1.0;saved
All65;ModelResultImpl;3174;6004;5148;2535;5;714;0;1;0;1.0;saved
All66;ModelResultImpl;3020;4336;3573;1796;5;469;0;1;0;1.0;saved
All67;ModelResultImpl;3090;8317;7445;3752;5;726;0;1;0;1.0;saved
All68;ModelResultImpl;3139;7181;6299;3009;6;694;0;1;0;1.0;saved
